Module                  Size  Used by
pci_stub               12429  1 
vboxpci                18996  0 
vboxnetflt             23316  0 
vboxnetadp             25443  0 
vboxdrv               269990  3 vboxnetadp,vboxnetflt,vboxpci
fuse                   87361  2 
cfq_iosched            49744  1 
rts5139               300550  0 
kvm_amd                54955  0 
kvm                   378768  1 kvm_amd
pcspkr                 12595  0 
snd_hda_codec_realtek    54699  1 
serio_raw              12849  0 
snd_hda_codec_generic    58997  1 snd_hda_codec_realtek
snd_hda_codec_hdmi     45164  1 
snd_hda_intel          26144  4 
snd_hda_controller     26457  1 snd_hda_intel
snd_hda_codec          94839  5 snd_hda_codec_realtek,snd_hda_codec_hdmi,snd_hda_codec_generic,snd_hda_intel,snd_hda_controller
ideapad_laptop         17403  0 
sparse_keymap          12818  1 ideapad_laptop
snd_hwdep              13148  1 snd_hda_codec
rfkill                 18121  1 ideapad_laptop
snd_pcm                84507  4 snd_hda_codec_hdmi,snd_hda_codec,snd_hda_intel,snd_hda_controller
snd_timer              26614  1 snd_pcm
snd                    61148  16 snd_hda_codec_realtek,snd_hwdep,snd_timer,snd_hda_codec_hdmi,snd_pcm,snd_hda_codec_generic,snd_hda_codec,snd_hda_intel
soundcore              13031  2 snd,snd_hda_codec
shpchp                 35210  0 
autofs4                27383  2 
hid_generic            12393  0 
usbhid                 31227  0 
ohci_pci               12808  0 
