aalib 1.4rc5-10
acl 2.2.52-2
adobe-source-sans-pro-fonts 1.050-1
alsa-firmware 1.0.27-2
alsa-lib 1.0.27.2-1
alsa-plugins 1.0.27-2
alsa-utils 1.0.27.2-1
archlinux-keyring 20140220-1
aspell 0.60.6.1-1
at-spi2-atk 2.12.1-1
at-spi2-core 2.12.0-1
atk 2.12.0-1
atkmm 2.22.7-1
attr 2.4.47-1
avahi 0.6.31-12
b43-fwcutter 018-1
bash 4.3.018-1
binutils 2.24-4
boost-libs 1.55.0-6
btrfs-progs 3.14.1-1
bzip2 1.0.6-5
ca-certificates 20140325-1
cairo 1.12.16-2
cairomm 1.10.0-3
colord 1.2.0-1
compface 1.5.2-6
compositeproto 0.4.2-2
coreutils 8.22-4
cracklib 2.9.0-2
cronie 1.4.11-2
cryptsetup 1.6.4-1
curl 7.37.0-1
damageproto 1.2.1-2
db 5.3.28-1
dbus 1.8.2-1
dbus-glib 0.102-1
dconf 0.20.0-1
desktop-file-utils 0.22-1
device-mapper 2.02.106-2
dhclient 4.3.0-1
dhcpcd 6.3.2-1
dialog 1:1.2_20140219-1
diffutils 3.3-1
dirmngr 1.1.1-2
dmidecode 2.12-2
dmraid 1.0.0.rc16.3-10
dmxproto 2.3.1-2
dnsmasq 2.71-1
dosfstools 3.0.26-1
e2fsprogs 1.42.9-2
ecryptfs-utils 103-2
efibootmgr 0.7.0-1
efivar 0.10-1
elfutils 0.158-3
encfs 1.7.4-12
enchant 1.6.0-4
exo 0.10.2-2
expat 2.1.0-3
faenza-green-icon-theme 2010.11.20-1
faenza-icon-theme 1.3.1-4
fftw 3.3.4-1
file 5.18-1
filesystem 2013.06-1
findutils 4.4.2-5
fixesproto 5.0-2
flac 1.3.0-2
fontconfig 2.11.1-1
fontsproto 2.1.3-1
freetype2 2.5.3-2
fuse 2.9.3-2
garcon 0.3.0-1
gawk 4.1.1-1
gcc-libs 4.9.0-3
gconf 3.2.6-3
gcr 3.12.2-1
gdbm 1.11-1
gdk-pixbuf2 2.30.7-1
geoclue 0.12.99-1
gettext 0.18.3.2-1
giflib 5.0.6-1
gksu 2.0.2-4
glib-networking 2.40.1-1
glib2 2.40.0-1
glibc 2.19-5
glibmm 2.40.0-1
gmp 6.0.0-1
gnome-icon-theme 3.12.0-1
gnome-icon-theme-symbolic 3.12.0-1
gnome-keyring 3.12.2-1
gnome-menus 3.10.1-1
gnupg 2.0.22-2
gnutls 3.3.4-1
gobject-introspection 1.40.0-1
gparted 0.18.0-1
gpgme 1.4.3-1
gpm 1.20.7-4
gptfdisk 0.8.10-1
graphite 1:1.2.4-1
grep 2.19-1
groff 1.22.2-6
grub 2.02.beta2-6
gsettings-desktop-schemas 3.12.2-1
gst-libav 1.2.4-1
gst-plugins-base-libs 1.2.4-1
gst-plugins-good 1.2.4-1
gstreamer 1.2.4-1
gtk-engine-murrine 0.98.2-1
gtk-engines 2.21.0-1
gtk-theme-ceti 20140430-1
gtk-theme-menda 20140526-1
gtk-update-icon-cache 2.24.23-1
gtk2 2.24.23-1
gtk3 3.12.2-1
gtkmm 2.24.4-1
gtkmm3 3.12.0-1
gtksourceview2 2.10.5-2
gtksourceview3 3.12.2-1
gtkspell 2.0.16-3
gummiboot 45-1
gvfs 1.20.2-1
gzip 1.6-1
harfbuzz 0.9.28-1
harfbuzz-icu 0.9.28-1
haveged 1.9.1-1
hdparm 9.43-2
hicolor-icon-theme 0.13-1
hspell 1.2-1
hunspell 1.3.2-3
hwids 20130915.1-1
hwinfo 21.4.1.1-2
iana-etc 2.30-4
icon-naming-utils 0.8.90-2
icu 53.1-1
imlib2 1.4.6-1
inetutils 1.9.2-1
inputproto 2.3.1-1
intel-ucode 20140430-1
inxi 2.1.28-1
iproute2 3.14.0-1
iptables 1.4.21-1
iputils 20121221-3
ipw2100-fw 1.3-7
ipw2200-fw 3.1-5
iso-codes 3.52-1
jack 0.124.1-1
jasper 1.900.1-10
jfsutils 1.1.15-4
js17 17.0.0-1
json-c 0.12-2
json-glib 1.0.0-1
kbd 2.0.1-1
kbproto 1.0.6-1
keyboardctl 0.1.5-2
keyutils 1.5.9-1
kmod 17-1
krb5 1.12.1-1
lcms2 2.6-1
less 458-1
lib32-alsa-lib 1.0.27.2-1
lib32-alsa-plugins 1.0.27-1
lib32-attr 2.4.47-1
lib32-bzip2 1.0.6-1
lib32-expat 2.1.0-1
lib32-flac 1.3.0-1
lib32-fontconfig 2.11.1-1
lib32-freetype2 2.5.3-1
lib32-gcc-libs 4.9.0-3
lib32-glib2 2.40.0-1
lib32-glibc 2.19-5
lib32-harfbuzz 0.9.26-2
lib32-icu 53.1-1
lib32-json-c 0.11-1
lib32-libasyncns 0.8-6
lib32-libcanberra 0.30-4
lib32-libcanberra-pulse 0.30-4
lib32-libcap 2.24-1
lib32-libdbus 1.8.0-1
lib32-libffi 3.0.13-1
lib32-libgcrypt 1.6.1-1
lib32-libgpg-error 1.12-1
lib32-libice 1.0.8-1
lib32-libltdl 2.4.2-13
lib32-libogg 1.3.1-1
